                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.5468,                 4.7942,                 1.6013,                      0,                      0,                      0,                      0,                 4.0701,                    inf,                 4.3937,               0.070526,              0.0032749,              0.0032749
                      1,                 3.2945,                 3.7508,                 1.4737,                0.18906,                0.00677,                0.00148,                0.00073,                 5.0757,                 9.3952,                 3.4394,               0.040461,              0.0065428,              0.0065428
                      2,                 3.1404,                 3.4313,                 1.4145,                0.61602,                0.03907,                 0.0313,                0.00898,                 3.6278,                 5.5108,                 1.8441,               0.010329,              0.0097447,              0.0097447
                      3,                 3.0716,                 3.2001,                 1.3963,                0.21978,                0.09171,                0.04934,                0.01142,                 3.5919,                 6.8246,                 1.7646,               0.009703,               0.009703,               0.009703
                      4,                 3.0122,                 3.0366,                 1.3816,                0.32742,                0.21392,                0.11879,                0.03536,                 3.0522,                 3.2875,                 1.3709,               0.009703,               0.009703,               0.009703
                      5,                 2.9927,                 2.8923,                 1.3684,                0.69316,                0.20448,                 0.2112,                0.06263,                 2.7646,                 2.7033,                 1.2829,               0.009604,               0.009604,               0.009604
                      6,                 2.9409,                 2.7861,                 1.3525,                0.28567,                0.28456,                0.24908,                0.08288,                 2.7283,                 3.3168,                 1.2951,               0.009505,               0.009505,               0.009505
                      7,                 2.9155,                 2.6931,                 1.3505,                0.35597,                0.26133,                0.21448,                 0.0773,                 2.8328,                 3.2256,                 1.3033,               0.009406,               0.009406,               0.009406
                      8,                 2.8648,                 2.6006,                 1.3197,                0.43677,                0.36371,                0.31176,                0.09908,                 2.8916,                 1.9173,                 1.3489,               0.009307,               0.009307,               0.009307
                      9,                 2.8261,                 2.4934,                 1.3182,                0.33581,                0.37568,                0.30571,                0.10004,                 2.8741,                 2.3618,                 1.3525,               0.009208,               0.009208,               0.009208
                     10,                 2.8271,                 2.4855,                 1.3084,                  0.487,                  0.338,                0.36179,                0.12066,                 2.8112,                 1.9549,                 1.2953,               0.009109,               0.009109,               0.009109
                     11,                 2.8198,                 2.4663,                 1.3011,                0.35831,                0.38308,                0.36238,                0.12772,                 2.6002,                 1.8576,                 1.2311,                0.00901,                0.00901,                0.00901
                     12,                 2.8052,                 2.4219,                  1.306,                0.43189,                0.45597,                0.42738,                0.13705,                 2.6758,                  1.942,                 1.2555,               0.008911,               0.008911,               0.008911
                     13,                 2.7799,                  2.379,                 1.3073,                0.35822,                0.45369,                0.39128,                0.11795,                 2.5886,                 2.0148,                 1.2337,               0.008812,               0.008812,               0.008812
                     14,                 2.7919,                  2.389,                 1.3055,                0.39564,                0.36958,                0.33368,                   0.11,                 2.6867,                 2.1044,                 1.2453,               0.008713,               0.008713,               0.008713
                     15,                 2.7741,                 2.3244,                 1.2826,                0.41765,                0.56757,                0.47994,                0.16827,                  2.485,                 1.6279,                 1.1958,               0.008614,               0.008614,               0.008614
                     16,                 2.7374,                 2.2959,                 1.2826,                0.31825,                0.48213,                0.50577,                0.19155,                  2.413,                 1.6699,                  1.181,               0.008515,               0.008515,               0.008515
                     17,                 2.7255,                 2.2604,                 1.2987,                0.53669,                0.51569,                0.52321,                0.18214,                 2.4901,                 1.5769,                 1.2075,               0.008416,               0.008416,               0.008416
                     18,                  2.724,                 2.2245,                 1.2949,                0.50608,                 0.5354,                0.53795,                 0.1942,                 2.3394,                 1.5612,                 1.1713,               0.008317,               0.008317,               0.008317
                     19,                 2.7083,                 2.2376,                 1.2874,                0.57269,                0.45022,                0.52593,                0.17774,                  2.371,                 1.6362,                 1.1699,               0.008218,               0.008218,               0.008218
                     20,                 2.7113,                 2.2086,                 1.2651,                0.54108,                0.50984,                0.57587,                0.20079,                 2.4487,                 1.5701,                 1.1794,               0.008119,               0.008119,               0.008119
                     21,                 2.6951,                 2.2195,                 1.2691,                0.48703,                0.54687,                0.50332,                0.17257,                 2.5598,                 1.5816,                 1.2058,                0.00802,                0.00802,                0.00802
                     22,                  2.694,                 2.2298,                 1.2758,                0.43426,                0.47591,                0.41986,                0.14689,                 2.5879,                 1.7532,                 1.2247,               0.007921,               0.007921,               0.007921
                     23,                  2.669,                 2.1852,                 1.2661,                0.55074,                0.57738,                0.56019,                0.20548,                 2.3564,                 1.4866,                 1.1704,               0.007822,               0.007822,               0.007822
                     24,                 2.6599,                 2.1544,                 1.2686,                0.47822,                0.47401,                0.48802,                  0.173,                 2.4973,                 1.7394,                 1.2068,               0.007723,               0.007723,               0.007723
                     25,                  2.659,                 2.1779,                 1.2681,                0.37046,                0.48625,                0.41403,                 0.1186,                 2.7694,                 1.7135,                 1.2719,               0.007624,               0.007624,               0.007624
                     26,                 2.6507,                 2.1414,                  1.257,                0.41135,                0.59239,                0.49409,                0.18624,                  2.355,                 1.5917,                 1.1626,               0.007525,               0.007525,               0.007525
                     27,                 2.6943,                 2.1394,                 1.2801,                0.44526,                0.50485,                0.55328,                0.19508,                 2.5424,                 1.5443,                 1.2341,               0.007426,               0.007426,               0.007426
                     28,                 2.6489,                 2.1283,                  1.269,                0.51371,                0.62179,                0.61676,                0.24441,                 2.2453,                  1.501,                  1.141,               0.007327,               0.007327,               0.007327
                     29,                 2.6312,                 2.0963,                 1.2495,                0.55674,                0.56682,                0.56395,                0.21288,                 2.3341,                 1.4477,                 1.1515,               0.007228,               0.007228,               0.007228
                     30,                 2.6442,                 2.1091,                 1.2637,                0.57481,                0.52708,                0.57289,                0.19983,                 2.4467,                 1.5665,                 1.1852,               0.007129,               0.007129,               0.007129
                     31,                 2.6279,                  2.118,                 1.2382,                0.40581,                 0.6703,                0.56048,                0.19505,                 2.3792,                 1.5767,                 1.1664,                0.00703,                0.00703,                0.00703
                     32,                 2.6179,                 2.0723,                  1.233,                0.46754,                0.56679,                0.54412,                0.19067,                 2.4061,                 1.5683,                 1.1636,               0.006931,               0.006931,               0.006931
                     33,                 2.6339,                 2.0949,                 1.2452,                 0.5117,                0.59407,                0.63525,                0.24711,                 2.2684,                 1.4999,                 1.1382,               0.006832,               0.006832,               0.006832
