                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.4656,                 2.3059,                 1.1662,                0.46807,                  0.522,                0.48542,                0.18662,                 2.2413,                 1.5284,                 1.0829,              0.0006733,              0.0006733,              0.0006733
                     35,                 2.4393,                 2.2813,                 1.1495,                0.44854,                0.50747,                0.48538,                0.19512,                 2.2424,                 1.5359,                 1.0797,              0.0006634,              0.0006634,              0.0006634
                     36,                 2.4258,                  2.242,                  1.156,                0.47522,                0.56639,                0.50343,                0.19707,                 2.2397,                 1.4712,                 1.0842,              0.0006535,              0.0006535,              0.0006535
                     37,                 2.4118,                 2.2438,                 1.1584,                0.47625,                0.54202,                 0.4821,                 0.1845,                 2.2663,                 1.5259,                 1.0918,              0.0006436,              0.0006436,              0.0006436
                     38,                 2.4337,                  2.248,                 1.1486,                0.46303,                0.52246,                0.46936,                0.17765,                 2.2816,                 1.5078,                   1.09,              0.0006337,              0.0006337,              0.0006337
                     39,                 2.4155,                 2.2298,                 1.1463,                0.46388,                0.53918,                0.46044,                0.17003,                 2.3043,                 1.5532,                 1.0901,              0.0006238,              0.0006238,              0.0006238
                     40,                 2.3996,                 2.2114,                 1.1485,                0.44212,                0.50965,                0.49371,                0.19121,                 2.1918,                  1.483,                 1.0655,              0.0006139,              0.0006139,              0.0006139
                     41,                 2.3977,                  2.215,                 1.1469,                0.52671,                0.49743,                0.53892,                0.19712,                 2.2153,                 1.4596,                 1.0793,               0.000604,               0.000604,               0.000604
                     42,                  2.412,                 2.1931,                 1.1369,                0.48212,                0.60124,                0.51916,                0.19361,                 2.2329,                 1.4681,                 1.0726,              0.0005941,              0.0005941,              0.0005941
                     43,                 2.3896,                 2.1587,                 1.1397,                0.43127,                0.54465,                0.48074,                0.18148,                 2.2667,                 1.5065,                 1.0803,              0.0005842,              0.0005842,              0.0005842
                     44,                 2.3762,                 2.1738,                 1.1426,                0.46992,                0.50743,                 0.4987,                0.20117,                 2.2107,                 1.4803,                  1.072,              0.0005743,              0.0005743,              0.0005743
                     45,                 2.3662,                 2.1614,                 1.1399,                0.50859,                0.51002,                0.52281,                0.19332,                 2.2541,                 1.4883,                 1.0786,              0.0005644,              0.0005644,              0.0005644
                     46,                 2.3612,                 2.1519,                 1.1292,                0.54624,                0.51702,                0.54336,                0.20042,                 2.2238,                 1.4557,                 1.0731,              0.0005545,              0.0005545,              0.0005545
                     47,                 2.3683,                 2.1384,                 1.1313,                0.47736,                0.54091,                0.49339,                0.18334,                 2.2497,                 1.4951,                 1.0768,              0.0005446,              0.0005446,              0.0005446
                     48,                  2.356,                 2.1451,                 1.1322,                0.51491,                0.55381,                0.55228,                0.20552,                 2.2133,                 1.4331,                 1.0716,              0.0005347,              0.0005347,              0.0005347
                     49,                  2.366,                 2.1389,                 1.1287,                0.53767,                0.60171,                0.56052,                0.21126,                 2.2214,                 1.4346,                 1.0755,              0.0005248,              0.0005248,              0.0005248
                     50,                 2.3545,                 2.1489,                 1.1238,                0.50042,                 0.5479,                0.55342,                0.21214,                 2.1974,                 1.4402,                  1.069,              0.0005149,              0.0005149,              0.0005149
                     51,                 2.3566,                 2.1119,                 1.1271,                0.52894,                0.56814,                0.55643,                0.20559,                 2.2201,                 1.4088,                 1.0681,               0.000505,               0.000505,               0.000505
                     52,                 2.3508,                 2.1148,                 1.1244,                0.49609,                0.52131,                0.54291,                0.20702,                  2.203,                 1.4313,                 1.0743,              0.0004951,              0.0004951,              0.0004951
                     53,                 2.3497,                 2.1129,                 1.1211,                0.49489,                0.57507,                0.53421,                0.19609,                 2.1742,                  1.459,                 1.0597,              0.0004852,              0.0004852,              0.0004852
                     54,                  2.334,                 2.0899,                 1.1167,                0.52324,                 0.5468,                0.53826,                0.20105,                 2.2188,                  1.466,                 1.0675,              0.0004753,              0.0004753,              0.0004753
                     55,                 2.3285,                 2.0819,                 1.1066,                0.51951,                0.57394,                0.54936,                0.20734,                  2.206,                 1.4429,                 1.0657,              0.0004654,              0.0004654,              0.0004654
                     56,                  2.335,                 2.0843,                 1.1237,                0.55591,                0.58381,                0.57211,                0.21149,                 2.2302,                 1.4101,                  1.068,              0.0004555,              0.0004555,              0.0004555
                     57,                 2.2897,                  2.052,                 1.1124,                0.52948,                0.57876,                0.56091,                0.20659,                 2.2089,                 1.4455,                 1.0644,              0.0004456,              0.0004456,              0.0004456
