                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.4183,                 1.9371,                  1.153,                0.48697,                0.57914,                0.54763,                0.20854,                 2.2002,                 1.4522,                 1.0716,              0.0006733,              0.0006733,              0.0006733
                     35,                 2.3936,                 1.8882,                 1.1386,                0.52277,                0.59228,                0.58266,                0.22369,                 2.1646,                  1.469,                 1.0668,              0.0006634,              0.0006634,              0.0006634
                     36,                 2.3743,                   1.87,                 1.1453,                0.51226,                0.51626,                0.56085,                0.22142,                 2.2269,                 1.4648,                 1.0839,              0.0006535,              0.0006535,              0.0006535
                     37,                 2.3584,                  1.873,                 1.1451,                0.49855,                0.58831,                0.53094,                0.19957,                 2.2253,                 1.4417,                 1.0911,              0.0006436,              0.0006436,              0.0006436
                     38,                 2.3732,                 1.8894,                  1.136,                0.59173,                0.63626,                0.62856,                0.24188,                 2.1087,                 1.3936,                 1.0718,              0.0006337,              0.0006337,              0.0006337
                     39,                 2.3847,                  1.872,                 1.1388,                0.55099,                0.60046,                0.58328,                0.20774,                 2.2809,                 1.4313,                 1.0976,              0.0006238,              0.0006238,              0.0006238
                     40,                 2.3673,                 1.8523,                 1.1406,                0.64183,                0.64346,                0.67331,                0.26373,                 2.1599,                 1.3777,                 1.0674,              0.0006139,              0.0006139,              0.0006139
                     41,                 2.3428,                 1.8557,                 1.1318,                0.52631,                0.59945,                0.56459,                0.21091,                 2.1832,                 1.4774,                 1.0756,               0.000604,               0.000604,               0.000604
                     42,                 2.3454,                  1.815,                  1.119,                0.53466,                0.64352,                0.62626,                0.25299,                 2.1644,                 1.3769,                 1.0648,              0.0005941,              0.0005941,              0.0005941
                     43,                  2.339,                 1.8037,                 1.1323,                  0.486,                0.58292,                0.53598,                0.19114,                 2.2482,                 1.5057,                 1.0934,              0.0005842,              0.0005842,              0.0005842
                     44,                 2.3266,                 1.8037,                 1.1316,                 0.5952,                0.59442,                0.64837,                0.23525,                 2.2075,                 1.3649,                 1.0763,              0.0005743,              0.0005743,              0.0005743
                     45,                 2.3184,                 1.7874,                 1.1298,                0.64177,                0.65205,                0.64048,                0.26456,                 2.1194,                  1.378,                 1.0439,              0.0005644,              0.0005644,              0.0005644
                     46,                  2.307,                 1.7675,                 1.1173,                0.67243,                0.60443,                0.67013,                0.26602,                 2.0862,                 1.3616,                 1.0438,              0.0005545,              0.0005545,              0.0005545
