                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 6.0231,                 13.424,                 3.5826,                      0,                      0,                      0,                      0,                 6.5581,                 5.6058,                 3.3988,               0.070526,              0.0032749,              0.0032749
                      1,                 4.3565,                 5.2557,                 2.3009,                  9e-05,                0.01429,                  6e-05,                  1e-05,                  3.989,                 6.4382,                 2.0246,               0.040461,              0.0065428,              0.0065428
                      2,                 3.7968,                 4.7692,                  1.787,                0.00233,                 0.0368,                0.00129,                0.00031,                 4.3435,                 4.7095,                 1.9942,               0.010329,              0.0097447,              0.0097447
                      3,                 3.4392,                 4.0183,                 1.5573,                0.34738,                0.06546,                0.00795,                0.00169,                 4.5559,                 18.036,                 2.4937,               0.009703,               0.009703,               0.009703
                      4,                  3.207,                 3.5104,                  1.473,                0.41908,                 0.2224,                0.09694,                0.02506,                 3.0059,                 2.7419,                 1.3976,               0.009703,               0.009703,               0.009703
                      5,                 3.0641,                  3.196,                 1.4112,                0.52325,                0.18759,                0.15253,                0.04395,                 2.8829,                 2.5735,                  1.362,               0.009604,               0.009604,               0.009604
                      6,                 2.9835,                 2.9438,                 1.3861,                 0.2799,                0.37463,                0.27472,                0.09074,                 2.5649,                 2.0941,                 1.2428,               0.009505,               0.009505,               0.009505
                      7,                 2.9313,                 2.7906,                 1.3785,                0.42599,                0.31373,                0.22755,                0.07532,                 2.6517,                 2.1687,                 1.2815,               0.009406,               0.009406,               0.009406
                      8,                 2.8843,                 2.6767,                 1.3428,                0.46604,                0.33809,                0.27263,                0.09479,                  2.542,                 2.1854,                 1.2287,               0.009307,               0.009307,               0.009307
                      9,                 2.8356,                  2.515,                 1.3386,                0.37969,                0.31686,                0.25425,                0.10062,                 2.5803,                 2.1467,                  1.273,               0.009208,               0.009208,               0.009208
                     10,                 2.8314,                 2.4751,                 1.3299,                0.35106,                0.38193,                0.28213,                0.07776,                 2.7853,                 1.9324,                  1.324,               0.009109,               0.009109,               0.009109
                     11,                 2.8089,                 2.4209,                 1.3219,                0.41708,                0.45127,                0.41653,                0.14513,                 2.4861,                 1.8334,                 1.2257,                0.00901,                0.00901,                0.00901
                     12,                 2.7596,                 2.3527,                 1.3117,                0.38582,                0.42778,                0.42241,                0.14288,                 2.4838,                 1.7536,                 1.2268,               0.008911,               0.008911,               0.008911
                     13,                 2.7464,                 2.2931,                 1.3139,                0.35058,                0.40095,                0.37669,                0.12999,                 2.5197,                 1.7947,                 1.2213,               0.008812,               0.008812,               0.008812
                     14,                 2.7431,                 2.2837,                 1.3097,                0.39347,                0.48338,                0.46571,                0.16348,                 2.4572,                 1.6324,                 1.2203,               0.008713,               0.008713,               0.008713
                     15,                 2.7243,                 2.2418,                 1.2867,                0.28798,                0.28267,                0.19686,                0.04459,                 3.1502,                 2.1006,                 1.4517,               0.008614,               0.008614,               0.008614
                     16,                 2.6963,                  2.211,                 1.2912,                0.29768,                0.39149,                0.30347,                0.10283,                   2.54,                 1.8729,                 1.2378,               0.008515,               0.008515,               0.008515
                     17,                 2.6929,                 2.1823,                 1.2938,                0.43648,                0.43804,                0.37855,                0.13518,                 2.4306,                 1.6936,                 1.1955,               0.008416,               0.008416,               0.008416
                     18,                 2.6693,                 2.1281,                 1.2959,                0.50431,                0.51027,                0.50249,                0.16241,                 2.5474,                  1.639,                 1.2251,               0.008317,               0.008317,               0.008317
                     19,                 2.6556,                 2.1047,                 1.2928,                0.53086,                0.40401,                0.42804,                0.15185,                 2.5111,                 1.6205,                 1.2234,               0.008218,               0.008218,               0.008218
                     20,                  2.648,                 2.1015,                 1.2669,                0.47711,                0.50439,                0.44478,                0.16045,                 2.3713,                 1.6731,                 1.1929,               0.008119,               0.008119,               0.008119
                     21,                 2.6292,                 2.1223,                 1.2708,                0.48868,                0.53596,                0.57836,                0.22174,                 2.2876,                 1.5125,                 1.1363,                0.00802,                0.00802,                0.00802
                     22,                 2.6336,                 2.0964,                 1.2789,                0.28758,                0.42745,                0.30276,                0.09924,                 2.6888,                 1.8657,                 1.2744,               0.007921,               0.007921,               0.007921
                     23,                 2.5991,                  2.052,                 1.2681,                0.41531,                0.53902,                0.47547,                0.18334,                 2.3647,                 1.5916,                 1.1897,               0.007822,               0.007822,               0.007822
                     24,                 2.5905,                 2.0364,                 1.2657,                0.34222,                0.44673,                0.36373,                0.12476,                 2.6489,                  1.787,                 1.2788,               0.007723,               0.007723,               0.007723
                     25,                 2.5936,                 2.0538,                 1.2718,                0.47818,                0.50912,                0.52829,                0.19658,                 2.3498,                 1.5201,                 1.1702,               0.007624,               0.007624,               0.007624
                     26,                 2.5778,                 2.0199,                 1.2584,                0.44474,                0.39425,                 0.4269,                0.12426,                 2.7021,                 1.6093,                 1.2657,               0.007525,               0.007525,               0.007525
                     27,                 2.5897,                  1.999,                 1.2662,                0.44778,                0.51494,                0.50806,                0.18448,                 2.4051,                 1.5078,                 1.1885,               0.007426,               0.007426,               0.007426
                     28,                 2.5631,                 2.0041,                 1.2669,                0.50575,                0.54499,                0.51556,                0.19041,                 2.3899,                  1.415,                  1.184,               0.007327,               0.007327,               0.007327
                     29,                 2.5393,                  1.952,                 1.2455,                0.60144,                0.54654,                 0.5654,                0.21196,                 2.2317,                  1.456,                 1.1348,               0.007228,               0.007228,               0.007228
                     30,                 2.5392,                 1.9748,                 1.2508,                0.52608,                0.61887,                0.58296,                 0.2229,                 2.2524,                  1.395,                 1.1523,               0.007129,               0.007129,               0.007129
                     31,                   2.53,                 1.9498,                 1.2376,                0.43349,                0.56364,                0.44806,                0.16882,                 2.2831,                  1.534,                 1.1528,                0.00703,                0.00703,                0.00703
                     32,                 2.5118,                 1.9409,                 1.2281,                  0.476,                0.57296,                0.55844,                0.18838,                 2.4079,                 1.4109,                 1.1915,               0.006931,               0.006931,               0.006931
                     33,                 2.5455,                 1.9411,                 1.2433,                0.41688,                0.57333,                 0.5177,                0.19625,                  2.291,                 1.5012,                 1.1435,               0.006832,               0.006832,               0.006832
                     34,                 2.5028,                 1.9408,                 1.2333,                0.52598,                0.55193,                0.57453,                 0.2095,                 2.3933,                  1.549,                 1.1783,               0.006733,               0.006733,               0.006733
                     35,                 2.4983,                 1.9196,                 1.2193,                0.49736,                0.53069,                0.51962,                0.20707,                 2.2055,                 1.4846,                 1.1312,               0.006634,               0.006634,               0.006634
                     36,                 2.4679,                 1.8912,                 1.2268,                0.54212,                0.56051,                0.55112,                0.20243,                 2.2797,                 1.4706,                 1.1468,               0.006535,               0.006535,               0.006535
                     37,                 2.4668,                 1.8968,                 1.2334,                0.49759,                0.48222,                0.49257,                0.17837,                 2.4011,                 1.5653,                 1.1833,               0.006436,               0.006436,               0.006436
                     38,                 2.4915,                 1.8909,                 1.2194,                0.45979,                0.57455,                0.55205,                 0.2132,                 2.2464,                 1.4326,                 1.1399,               0.006337,               0.006337,               0.006337
                     39,                 2.4627,                 1.8745,                 1.2191,                0.43474,                0.55513,                 0.4809,                0.13464,                 2.6985,                 1.5596,                  1.286,               0.006238,               0.006238,               0.006238
                     40,                 2.4633,                 1.8484,                 1.2217,                0.65107,                0.60949,                0.65155,                0.25371,                 2.1442,                 1.3434,                 1.1075,               0.006139,               0.006139,               0.006139
                     41,                 2.4535,                 1.8798,                 1.2245,                0.50607,                0.55765,                 0.5454,                0.18148,                 2.3546,                  1.463,                 1.1619,                0.00604,                0.00604,                0.00604
                     42,                 2.4518,                 1.8422,                 1.2021,                0.59288,                0.63011,                0.61652,                0.20961,                 2.3192,                 1.3919,                   1.15,               0.005941,               0.005941,               0.005941
                     43,                 2.4266,                 1.8095,                 1.2103,                0.56014,                 0.6468,                 0.6832,                 0.2733,                 2.1645,                 1.3214,                 1.1048,               0.005842,               0.005842,               0.005842
