                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  2.657,                 2.2606,                 1.2951,                0.37197,                0.46109,                0.38968,                0.13447,                 2.3844,                 1.6015,                  1.196,              0.0006733,              0.0006733,              0.0006733
                     35,                 2.6204,                 2.2392,                 1.2724,                0.37679,                0.48049,                0.42493,                0.15846,                  2.337,                  1.547,                 1.1803,              0.0006634,              0.0006634,              0.0006634
                     36,                 2.6034,                 2.1742,                 1.2778,                  0.447,                0.44647,                0.45278,                0.15955,                 2.3996,                 1.4685,                 1.1932,              0.0006535,              0.0006535,              0.0006535
                     37,                 2.6148,                 2.2013,                 1.2922,                 0.4207,                0.43532,                0.40776,                0.14491,                 2.3996,                 1.5616,                 1.1986,              0.0006436,              0.0006436,              0.0006436
                     38,                 2.6202,                 2.2043,                 1.2685,                0.37989,                0.48134,                 0.4159,                0.15653,                 2.3688,                 1.5538,                 1.1868,              0.0006337,              0.0006337,              0.0006337
                     39,                 2.5974,                  2.165,                 1.2692,                0.38977,                0.49819,                0.43336,                0.16145,                 2.3572,                 1.5584,                 1.1815,              0.0006238,              0.0006238,              0.0006238
                     40,                 2.5892,                 2.1521,                 1.2713,                0.36589,                0.50016,                0.42186,                0.14966,                 2.3611,                 1.5413,                 1.1774,              0.0006139,              0.0006139,              0.0006139
                     41,                 2.5991,                 2.1778,                 1.2774,                0.46916,                0.48843,                0.46171,                0.16113,                 2.3032,                 1.5308,                  1.161,               0.000604,               0.000604,               0.000604
                     42,                 2.5746,                  2.137,                 1.2532,                0.47737,                0.47901,                0.46244,                0.16364,                 2.3203,                  1.521,                  1.169,              0.0005941,              0.0005941,              0.0005941
                     43,                 2.5685,                 2.1096,                 1.2641,                0.43877,                0.46044,                0.45659,                0.16573,                 2.3569,                  1.531,                 1.1764,              0.0005842,              0.0005842,              0.0005842
                     44,                 2.5443,                 2.0966,                 1.2659,                0.45465,                0.49044,                0.47684,                 0.1668,                 2.3504,                 1.4808,                 1.1755,              0.0005743,              0.0005743,              0.0005743
                     45,                 2.5478,                 2.1114,                 1.2685,                0.50981,                0.51591,                0.50203,                0.19095,                 2.2567,                 1.4859,                 1.1502,              0.0005644,              0.0005644,              0.0005644
                     46,                 2.5445,                 2.1043,                 1.2541,                0.49482,                0.50156,                0.53351,                0.18411,                 2.2994,                 1.4571,                 1.1651,              0.0005545,              0.0005545,              0.0005545
                     47,                 2.5381,                 2.0827,                 1.2553,                0.44844,                0.51416,                0.49217,                0.17205,                 2.3141,                 1.4838,                 1.1662,              0.0005446,              0.0005446,              0.0005446
                     48,                 2.5288,                  2.083,                 1.2538,                0.49113,                0.50386,                0.49771,                 0.1812,                 2.2878,                 1.4682,                 1.1601,              0.0005347,              0.0005347,              0.0005347
                     49,                 2.5343,                 2.0828,                 1.2474,                0.50532,                0.50234,                0.51224,                0.18204,                 2.2981,                 1.4696,                 1.1602,              0.0005248,              0.0005248,              0.0005248
                     50,                 2.5299,                 2.0724,                  1.246,                0.47668,                0.54428,                0.50616,                 0.1782,                 2.3404,                 1.4558,                 1.1681,              0.0005149,              0.0005149,              0.0005149
                     51,                 2.5311,                 2.0426,                 1.2479,                 0.4697,                0.51193,                0.48378,                0.17373,                 2.3096,                 1.4793,                   1.17,               0.000505,               0.000505,               0.000505
