                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.6889,                 2.1914,                  1.251,                0.45987,                0.59867,                0.55937,                0.20316,                 2.3664,                 1.6858,                 1.1572,               0.006634,               0.006634,               0.006634
                     36,                 2.6537,                 2.1374,                 1.2486,                0.51252,                0.51222,                 0.5597,                0.19228,                 2.4552,                 1.6386,                 1.1735,               0.006535,               0.006535,               0.006535
                     37,                 2.6555,                 2.1422,                 1.2659,                0.49507,                0.56134,                0.55553,                0.22052,                 2.3206,                 1.5906,                 1.1446,               0.006436,               0.006436,               0.006436
                     38,                 2.6533,                   2.15,                 1.2375,                 0.5628,                0.47583,                0.48565,                0.17429,                   2.44,                 1.7069,                 1.1647,               0.006337,               0.006337,               0.006337
                     39,                 2.6672,                 2.1511,                 1.2491,                0.44081,                0.52173,                0.51885,                0.19571,                 2.4105,                 1.6459,                 1.1619,               0.006238,               0.006238,               0.006238
                     40,                 2.6591,                 2.1264,                 1.2531,                0.42517,                0.45645,                0.41334,                0.14105,                 2.4596,                 1.7718,                 1.1792,               0.006139,               0.006139,               0.006139
                     41,                 2.6555,                 2.1406,                  1.251,                0.56233,                0.56847,                0.58299,                0.21896,                 2.3558,                 1.5177,                 1.1446,                0.00604,                0.00604,                0.00604
                     42,                  2.624,                 2.0938,                 1.2295,                0.60293,                0.57318,                0.57969,                0.20409,                 2.4134,                 1.5227,                 1.1527,               0.005941,               0.005941,               0.005941
                     43,                 2.6394,                 2.0846,                  1.247,                0.49863,                0.56083,                0.55392,                0.20854,                 2.4026,                 1.5364,                 1.1648,               0.005842,               0.005842,               0.005842
                     44,                 2.6292,                 2.0883,                  1.246,                0.51467,                0.61856,                0.59318,                0.21179,                 2.4011,                 1.5092,                  1.149,               0.005743,               0.005743,               0.005743
                     45,                 2.6164,                 2.0713,                  1.251,                0.53495,                0.50146,                0.52011,                 0.1937,                 2.3767,                 1.5614,                 1.1693,               0.005644,               0.005644,               0.005644
                     46,                 2.6383,                 2.0862,                 1.2353,                0.52065,                0.55109,                0.55076,                0.19208,                 2.3327,                 1.5801,                 1.1388,               0.005545,               0.005545,               0.005545
                     47,                 2.6134,                 2.0572,                 1.2391,                0.52508,                0.57938,                0.55138,                0.20182,                 2.3754,                 1.4973,                 1.1474,               0.005446,               0.005446,               0.005446
                     48,                 2.6156,                 2.0574,                 1.2371,                0.59765,                0.62014,                 0.5848,                 0.2026,                  2.401,                 1.4627,                 1.1606,               0.005347,               0.005347,               0.005347
                     49,                 2.6079,                 2.0698,                 1.2257,                0.58235,                0.53751,                0.53713,                0.19399,                 2.3474,                 1.5307,                 1.1491,               0.005248,               0.005248,               0.005248
                     50,                 2.5901,                 2.0851,                  1.225,                0.53293,                0.52927,                0.53864,                0.20715,                 2.3772,                 1.5959,                 1.1517,               0.005149,               0.005149,               0.005149
                     51,                 2.5962,                 2.0393,                 1.2263,                0.37403,                0.48089,                0.37678,                0.12352,                 2.5339,                 1.8125,                 1.1892,                0.00505,                0.00505,                0.00505
                     52,                 2.5981,                 2.0738,                 1.2192,                0.46691,                0.58578,                0.54116,                0.19748,                 2.3295,                 1.5436,                 1.1393,               0.004951,               0.004951,               0.004951
                     53,                 2.5987,                 2.0694,                 1.2202,                0.54957,                0.65813,                0.64165,                 0.2349,                 2.3127,                 1.5018,                 1.1273,               0.004852,               0.004852,               0.004852
                     54,                 2.6152,                 2.0548,                 1.2237,                0.54825,                0.60126,                 0.5911,                0.22664,                 2.3645,                 1.5084,                 1.1566,               0.004753,               0.004753,               0.004753
                     55,                 2.5576,                 2.0498,                 1.2004,                0.56555,                 0.5006,                 0.5862,                0.21768,                   2.37,                 1.5947,                 1.1523,               0.004654,               0.004654,               0.004654
                     56,                 2.5634,                 2.0493,                  1.214,                0.50976,                0.58986,                0.56642,                0.21515,                 2.3121,                 1.5535,                 1.1253,               0.004555,               0.004555,               0.004555
                     57,                 2.5385,                 2.0021,                 1.2115,                0.51078,                0.64467,                0.60305,                0.23168,                 2.2978,                 1.4971,                 1.1189,               0.004456,               0.004456,               0.004456
                     58,                  2.556,                 2.0119,                 1.1999,                0.59003,                0.60261,                0.61669,                0.22663,                 2.3191,                 1.4659,                 1.1135,               0.004357,               0.004357,               0.004357
