                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.4085,                 7.1948,                 2.0737,                      0,                      0,                      0,                      0,                 5.8341,                 6.3964,                 3.1766,               0.070526,              0.0032749,              0.0032749
                      1,                  3.684,                 4.8382,                 1.5598,                      0,                      0,                      0,                      0,                 6.2726,                 6.9154,                 4.0355,               0.040461,              0.0065428,              0.0065428
                      2,                 3.5932,                 4.6649,                 1.5284,                0.00859,                0.01004,                 0.0086,                0.00211,                 4.9877,                 5.6137,                 2.3937,               0.010329,              0.0097447,              0.0097447
                      3,                 3.5764,                  4.543,                 1.5419,                0.01938,                0.02008,                 0.0136,                0.00305,                 4.4547,                 4.1382,                 2.1081,               0.009703,               0.009703,               0.009703
                      4,                 3.5357,                 4.4562,                 1.5205,                0.35758,                0.04418,                0.01576,                0.00271,                 4.0041,                 4.5466,                 1.7653,               0.009703,               0.009703,               0.009703
                      5,                 3.4949,                  4.376,                 1.4981,                0.70512,                0.08635,                0.03062,                0.00617,                 3.5958,                  3.974,                 1.6325,               0.009604,               0.009604,               0.009604
                      6,                 3.4478,                 4.2653,                 1.4836,                0.70499,                0.08635,                0.03799,                 0.0117,                 3.2943,                 3.3706,                   1.48,               0.009505,               0.009505,               0.009505
                      7,                 3.4133,                 4.1444,                 1.4782,                0.87837,                0.06426,                0.03607,                0.00634,                 3.6501,                 3.1782,                 1.6348,               0.009406,               0.009406,               0.009406
                      8,                 3.2923,                  3.915,                 1.4204,                0.89752,                0.09839,                0.07981,                0.01918,                 3.2121,                 3.1515,                 1.4181,               0.009307,               0.009307,               0.009307
                      9,                 3.2546,                 3.7635,                 1.4089,                0.53981,                0.17931,                0.12831,                0.04114,                 2.9627,                 3.0212,                 1.3617,               0.009208,               0.009208,               0.009208
                     10,                 3.2422,                 3.6562,                 1.4035,                0.72601,                0.15835,                0.11406,                0.03097,                 3.0128,                 2.8951,                 1.3688,               0.009109,               0.009109,               0.009109
                     11,                  3.186,                 3.5811,                 1.3858,                0.85675,                0.13201,                0.16561,                0.04882,                 2.9388,                 2.5916,                 1.3506,                0.00901,                0.00901,                0.00901
                     12,                 3.1361,                 3.4546,                  1.374,                0.42167,                0.18737,                0.15063,                0.04851,                 2.8132,                 2.7049,                 1.2962,               0.008911,               0.008911,               0.008911
                     13,                 3.1151,                 3.3305,                 1.3769,                0.50785,                0.16968,                 0.1394,                0.03892,                 2.9352,                 2.4356,                 1.3388,               0.008812,               0.008812,               0.008812
                     14,                 3.0935,                 3.2245,                 1.3723,                0.90967,                0.13546,                0.15274,                0.05075,                 3.0317,                 2.7354,                 1.3544,               0.008713,               0.008713,               0.008713
                     15,                 3.0567,                 3.1993,                 1.3592,                 0.6043,                0.22692,                0.23945,                0.08268,                 2.6719,                 2.3761,                 1.2784,               0.008614,               0.008614,               0.008614
                     16,                 3.0297,                 3.0758,                 1.3524,                0.38468,                0.31468,                0.21296,                0.06459,                 2.8338,                 2.2658,                 1.3109,               0.008515,               0.008515,               0.008515
                     17,                 3.0006,                 3.0152,                 1.3495,                0.50765,                0.30382,                 0.2523,                0.09096,                 2.7192,                 2.2362,                 1.3023,               0.008416,               0.008416,               0.008416
